,mass,method,semimajoraxis
0,19.4,RV,1.29
1,10.5,RV,1.54
2,4.8,RV,0.83
3,4.64,RV,2.77
4,1.68,RV,1.68
5,10.3,RV,2.6
6,1.99,RV,1.333
7,0.86,RV,2.08
8,30.0,imaging,2.897
9,20.0,imaging,3.53
10,30.0,imaging,4.48
11,9.88,RV,0.995
12,3.88,RV,1.19
13,2.53,RV,2.1
14,0.54,RV,3.6
15,1.64,RV,11.6
16,7.1,RV,0.87
17,0.468,RV,0.052
18,0.824,RV,0.1148
19,0.169,RV,0.2403
20,3.835,RV,5.76
21,0.027,transit,0.01545
22,0.144,RV,0.781
23,0.016,RV,0.050201
24,0.0573,RV,0.2175
25,0.072,RV,0.476
26,2.4,RV,2.2
27,6.6,RV,0.48
28,3.0,RV,2.1
29,2.6,RV,1.9
30,5.3,RV,2.5
31,0.109,RV,0.1232
32,0.36,RV,5.4
33,3.2,RV,0.7
34,1.8,RV,1.2
35,0.0035546417,RV,0.04
36,0.045,RV,0.056
37,0.33,RV,0.68
38,0.48,RV,0.046
39,0.53,RV,2.28
40,1.47,RV,0.777
41,1.11,RV,0.539
42,5.1,RV,1.34
43,21.42,RV,1.45
44,12.47,RV,2.01
45,4.2,RV,1.3
46,0.91,RV,1.0
47,7.8,RV,1.7
48,7.0,imaging,9.04
49,6.1,RV,1.4
50,6.5,imaging,2.6
51,2.75,transit,0.1055
52,2.49,transit,0.04351
53,0.917,transit,0.04016
54,1.308,transit,0.051
55,7.6,transit,0.027
56,0.53,transit,0.0618
57,2.45,transit,0.0461
58,3.47,transit,0.0295
59,1.11,transit,0.0518
60,1.03,transit,0.0254
61,4.24,transit,0.0902
62,2.26,transit,0.0417
63,0.0383853003178,transit,0.092
64,2.8,transit,0.0477
65,0.088,transit,0.098
66,0.27,transit,0.0578
67,0.52,transit,0.0526
68,10.39,transit,0.0476
69,3.31,transit,0.0281
70,21.66,transit,0.057
71,0.72,transit,0.09
72,0.467,transit,0.04947
73,2.96,transit,0.0855
74,0.0151,transit,0.0172
75,0.0264,RV,0.046
76,0.22,transit,0.063
77,0.84,transit,0.407
78,6.05,timing,8.19
79,6.7,RV,1.3
80,1.55,RV,3.39
81,7.6,RV,1.93
82,2.55,RV,1.27
83,3.32,RV,1.93
84,3.0,imaging,177.0
85,1.85,RV,2.05
